
4K,#genre#
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8$LR•IPV4•26『线路1』
东方卫视4K,http://43.251.226.89:8080/play/926.m3u8$LR•IPV4•26『线路2』
东方卫视4K,http://bit.famcloud.top:9878/rtp/239.3.1.119:3006$LR•IPV4•26『线路3』
东方卫视4K,http://route.079915.xyz:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路4』
东方卫视4K,http://laiboy.asuscomm.com:58686/rtp/239.3.1.119:3006$LR•IPV4•26『线路5』
东方卫视4K,http://owvpn.famcloud.top:9878/rtp/239.3.1.119:3006$LR•IPV4•26『线路6』
东方卫视4K,http://laiboy.myds.me:58686/rtp/239.3.1.119:3006$LR•IPV4•26『线路7』
东方卫视4K,http://mom.famcloud.top:9878/rtp/239.3.1.119:3006$LR•IPV4•26『线路8』
东方卫视4K,http://www.uibehw.cn:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路9』
东方卫视4K,http://laowang666.familyds.com:6300/rtp/239.3.1.119:3006$LR•IPV4•26『线路10』
东方卫视4K,http://nas.sphinger.cn:11012/rtp/239.3.1.119:3006$LR•IPV4•26『线路11』
东方卫视4K,http://sphinger.f3322.net:11012/rtp/239.3.1.119:3006$LR•IPV4•26『线路12』
东方卫视4K,http://x1x.bid:5146/rtp/239.3.1.119:3006$LR•IPV4•26『线路13』
东方卫视4K,http://www.photoby.us:28012/rtp/239.3.1.119:3006$LR•IPV4•26『线路14』
东方卫视4K,http://photoby.us:28012/rtp/239.3.1.119:3006$LR•IPV4•26『线路15』
东方卫视4K,http://rt.096096.xyz:61612/rtp/239.3.1.119:3006$LR•IPV4•26『线路16』
东方卫视4K,http://wuyanjiang.cn:8012/rtp/239.3.1.119:3006$LR•IPV4•26『线路17』
东方卫视4K,http://www.221111.best:8012/rtp/239.3.1.119:3006$LR•IPV4•26『线路18』
东方卫视4K,http://file.rbscraft.com:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路19』
东方卫视4K,http://www.ikuai.me:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路20』
东方卫视4K,http://unicom3.swjms.com:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路21』
东方卫视4K,http://gmk.ddns.wangbin.us:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路22』
东方卫视4K,http://guoxue.synology.me:57022/rtp/239.3.1.119:3006$LR•IPV4•26『线路23』
东方卫视4K,http://superpostmail.3322.org:1193/rtp/239.3.1.119:3006$LR•IPV4•26『线路24』
东方卫视4K,http://home.hexuntong.net:8188/rtp/239.3.1.119:3006$LR•IPV4•26『线路25』
东方卫视4K,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.119:3006$LR•IPV4•26『线路26』
湖南卫视4K,http://8.138.7.223/tv/api.php?id=hnws4k$LR•IPV4•29『线路1』
